Schema Element,TotalCount
http://bio2rdf.org/ncbigene_vocabulary:TRNA-Gene,103
http://bio2rdf.org/ncbigene_vocabulary:Unknown-Gene,123
http://bio2rdf.org/ncbigene_vocabulary:gene,111
http://bio2rdf.org/ncbigene_vocabulary:gene-component-association,59
http://bio2rdf.org/ncbigene_vocabulary:gene-function-association,59
http://bio2rdf.org/ncbigene_vocabulary:gene-process-association,59
http://bio2rdf.org/ndc_vocabulary:Dosage-Form,36
http://bio2rdf.org/ndc_vocabulary:Ingredient,35
http://bio2rdf.org/ndc_vocabulary:Labeller,31
http://bio2rdf.org/ndc_vocabulary:Package,36
http://bio2rdf.org/ndc_vocabulary:Package-Component,31
http://bio2rdf.org/ndc_vocabulary:Pharmacological-Class,31
http://bio2rdf.org/ndc_vocabulary:Product,100
http://bio2rdf.org/ndc_vocabulary:Product-Type,31
http://bio2rdf.org/ndc_vocabulary:Route,35
http://bio2rdf.org/ndc_vocabulary:Substance,39
http://bio2rdf.org/ndc_vocabulary:Unit,31
http://bio2rdf.org/ndc_vocabulary:amount_unit,15
http://bio2rdf.org/ndc_vocabulary:dosage-form,17
http://bio2rdf.org/ndc_vocabulary:has-package,17
http://bio2rdf.org/ndc_vocabulary:has-part,21
http://bio2rdf.org/ndc_vocabulary:ingredient,15
http://bio2rdf.org/ndc_vocabulary:labeller,19
http://bio2rdf.org/ndc_vocabulary:pharmacological-class,15
http://bio2rdf.org/ndc_vocabulary:product-type,23
http://bio2rdf.org/ndc_vocabulary:route,15
http://bio2rdf.org/omim_vocabulary:Allelic-Variant,691
http://bio2rdf.org/omim_vocabulary:Characteristic,64
http://bio2rdf.org/omim_vocabulary:Clinical-Synopsis,40
http://bio2rdf.org/omim_vocabulary:Entity,32
http://bio2rdf.org/omim_vocabulary:Gene,36192
http://bio2rdf.org/omim_vocabulary:Gene-phenotype,159
http://bio2rdf.org/omim_vocabulary:Phenotype,199
http://bio2rdf.org/omim_vocabulary:Phenotype-Map,92
http://bio2rdf.org/omim_vocabulary:Predominantly-phenotypes,164
http://bio2rdf.org/omim_vocabulary:characteristic-of,15
http://bio2rdf.org/omim_vocabulary:clinical-synopsis,24
http://bio2rdf.org/omim_vocabulary:feature,16
http://bio2rdf.org/omim_vocabulary:mimNumber,27
http://bio2rdf.org/omim_vocabulary:phenotype-map,33
http://bio2rdf.org/omim_vocabulary:phenotypeMimNumber,19
http://bio2rdf.org/omim_vocabulary:refers-to,65
http://bio2rdf.org/omim_vocabulary:variant,25
http://bio2rdf.org/omim_vocabulary:x-omim,27
http://bio2rdf.org/pharmgkb_vocabulary:Disease,90
http://bio2rdf.org/pharmgkb_vocabulary:Drug,140
http://bio2rdf.org/pharmgkb_vocabulary:Gene,124
http://bio2rdf.org/pharmgkb_vocabulary:Variation,372
http://bio2rdf.org/pharmgkb_vocabulary:disease,58
