Schema Element,kind
http://bio2rdf.org/drugbank_vocabulary:Country,type
http://bio2rdf.org/drugbank_vocabulary:Dosage,type
http://bio2rdf.org/drugbank_vocabulary:Drug,type
http://bio2rdf.org/drugbank_vocabulary:Drug-Classification-Category,type
http://bio2rdf.org/drugbank_vocabulary:Drug-Drug-Interaction,type
http://bio2rdf.org/drugbank_vocabulary:Enzyme,type
http://bio2rdf.org/drugbank_vocabulary:Enzyme-Relation,type
http://bio2rdf.org/drugbank_vocabulary:Experimental-properties,type
http://bio2rdf.org/drugbank_vocabulary:Food-interaction,type
http://bio2rdf.org/drugbank_vocabulary:Form,type
http://bio2rdf.org/drugbank_vocabulary:Ghose-Filter,type
http://bio2rdf.org/drugbank_vocabulary:Group,type
http://bio2rdf.org/drugbank_vocabulary:H-Bond-Acceptor-Count,type
http://bio2rdf.org/drugbank_vocabulary:H-Bond-Donor-Count,type
http://bio2rdf.org/drugbank_vocabulary:Half-life,type
http://bio2rdf.org/drugbank_vocabulary:Hydrophobicity,type
http://bio2rdf.org/drugbank_vocabulary:IUPAC-Name,type
http://bio2rdf.org/drugbank_vocabulary:InChI,type
http://bio2rdf.org/drugbank_vocabulary:InChIKey,type
http://bio2rdf.org/drugbank_vocabulary:Indication,type
http://bio2rdf.org/drugbank_vocabulary:Ingredient,type
http://bio2rdf.org/drugbank_vocabulary:International-brand,type
http://bio2rdf.org/drugbank_vocabulary:Isoelectric-Point,type
http://bio2rdf.org/drugbank_vocabulary:LogP,type
http://bio2rdf.org/drugbank_vocabulary:LogS,type
http://bio2rdf.org/drugbank_vocabulary:MDDR-Like-Rule,type
http://bio2rdf.org/drugbank_vocabulary:Manufacturer,type
http://bio2rdf.org/drugbank_vocabulary:Mechanism-of-action,type
http://bio2rdf.org/drugbank_vocabulary:Melting-Point,type
http://bio2rdf.org/drugbank_vocabulary:Mixture,type
http://bio2rdf.org/drugbank_vocabulary:Molecular-Formula,type
http://bio2rdf.org/drugbank_vocabulary:Molecular-Weight,type
http://bio2rdf.org/drugbank_vocabulary:Monoisotopic-Weight,type
http://bio2rdf.org/drugbank_vocabulary:Name,type
http://bio2rdf.org/drugbank_vocabulary:Number-of-Rings,type
http://bio2rdf.org/drugbank_vocabulary:PKa,type
http://bio2rdf.org/drugbank_vocabulary:PKa-(strongest-acidic),type
http://bio2rdf.org/drugbank_vocabulary:PKa-(strongest-basic),type
http://bio2rdf.org/drugbank_vocabulary:Patent,type
http://bio2rdf.org/drugbank_vocabulary:Pharmaceutical,type
http://bio2rdf.org/drugbank_vocabulary:Pharmacodynamics,type
http://bio2rdf.org/drugbank_vocabulary:Physiological-Charge,type
http://bio2rdf.org/drugbank_vocabulary:Polar-Surface-Area-(PSA),type
http://bio2rdf.org/drugbank_vocabulary:Polarizability,type
http://bio2rdf.org/drugbank_vocabulary:Protein-binding,type
http://bio2rdf.org/drugbank_vocabulary:Refractivity,type
http://bio2rdf.org/drugbank_vocabulary:Rotatable-Bond-Count,type
http://bio2rdf.org/drugbank_vocabulary:Route,type
http://bio2rdf.org/drugbank_vocabulary:Route-of-elimination,type
http://bio2rdf.org/drugbank_vocabulary:Rule-of-Five,type
http://bio2rdf.org/drugbank_vocabulary:SMILES,type
http://bio2rdf.org/drugbank_vocabulary:Salt,type
http://bio2rdf.org/drugbank_vocabulary:Small-molecule,type
http://bio2rdf.org/drugbank_vocabulary:Source,type
http://bio2rdf.org/drugbank_vocabulary:Synonym,type
http://bio2rdf.org/drugbank_vocabulary:Target,type
http://bio2rdf.org/drugbank_vocabulary:Target-Relation,type
http://bio2rdf.org/drugbank_vocabulary:Toxicity,type
http://bio2rdf.org/drugbank_vocabulary:Traditional-IUPAC-Name,type
http://bio2rdf.org/drugbank_vocabulary:Transporter,type
http://bio2rdf.org/drugbank_vocabulary:Transporter-Relation,type
http://bio2rdf.org/drugbank_vocabulary:Unit,type
http://bio2rdf.org/drugbank_vocabulary:Volume-of-distribution,type
http://bio2rdf.org/drugbank_vocabulary:Water-Solubility,type
http://bio2rdf.org/goa_vocabulary:GO-Annotation,type
http://bio2rdf.org/hgnc_vocabulary:Approved-Gene-Symbol,type
http://bio2rdf.org/hgnc_vocabulary:Gene-Symbol,type
http://bio2rdf.org/hgnc_vocabulary:Previous-Symbol,type
http://bio2rdf.org/hgnc_vocabulary:Status,type
http://bio2rdf.org/homologene_vocabulary:Homologene-Group,type
http://bio2rdf.org/irefindex_vocabulary:Expansion-Method,type
http://bio2rdf.org/irefindex_vocabulary:Homopolymeric-Complex,type
http://bio2rdf.org/irefindex_vocabulary:Multimeric-Complex,type
http://bio2rdf.org/irefindex_vocabulary:Pairwise-Interaction,type
http://bio2rdf.org/irefindex_vocabulary:Taxon-Sequence-Canonical-Interaction,type
http://bio2rdf.org/irefindex_vocabulary:Taxon-Sequence-Identical-Group,type
http://bio2rdf.org/irefindex_vocabulary:Taxon-Sequence-Identical-Interaction,type
http://bio2rdf.org/irefindex_vocabulary:Taxon-Sequence-Similar-Group,type
http://bio2rdf.org/kegg_vocabulary:Compound,type
http://bio2rdf.org/kegg_vocabulary:Disease,type
http://bio2rdf.org/kegg_vocabulary:Drug,type
http://bio2rdf.org/kegg_vocabulary:Environ,type
http://bio2rdf.org/kegg_vocabulary:Enzyme,type
http://bio2rdf.org/kegg_vocabulary:Gene,type
http://bio2rdf.org/kegg_vocabulary:Genome,type
http://bio2rdf.org/kegg_vocabulary:Glycan,type
http://bio2rdf.org/kegg_vocabulary:Interaction,type
http://bio2rdf.org/kegg_vocabulary:Irreversible-Reaction,type
http://bio2rdf.org/kegg_vocabulary:Ko,type
http://bio2rdf.org/kegg_vocabulary:Metabolism,type
http://bio2rdf.org/kegg_vocabulary:Module,type
http://bio2rdf.org/kegg_vocabulary:Ortholog-Group,type
http://bio2rdf.org/kegg_vocabulary:Pathway,type
http://bio2rdf.org/kegg_vocabulary:Pathway-Relation,type
http://bio2rdf.org/kegg_vocabulary:RPair-Role,type
http://bio2rdf.org/kegg_vocabulary:Rclass,type
http://bio2rdf.org/kegg_vocabulary:Reaction,type
http://bio2rdf.org/kegg_vocabulary:Reference,type
http://bio2rdf.org/kegg_vocabulary:Reversible-Reaction,type
http://bio2rdf.org/kegg_vocabulary:Rpair,type
http://bio2rdf.org/kegg_vocabulary:Target,type
http://bio2rdf.org/lsr_vocabulary:Dataset,type
http://bio2rdf.org/mesh_vocabulary:Descriptor,type
http://bio2rdf.org/mesh_vocabulary:Pharmacological-Action,type
http://bio2rdf.org/mesh_vocabulary:Qualifier-Descriptor,type
http://bio2rdf.org/mesh_vocabulary:Semantic-Type,type
http://bio2rdf.org/mesh_vocabulary:Supplementary-Descriptor,type
http://bio2rdf.org/mesh_vocabulary:Tree-Entry,type
http://bio2rdf.org/mesh_vocabulary:allowable-topical-qualifier,type
http://bio2rdf.org/mgi_vocabulary:Allele,type
http://bio2rdf.org/mgi_vocabulary:Allele-Disease-Association,type
http://bio2rdf.org/mgi_vocabulary:Allele-Disease-Non-Association,type
http://bio2rdf.org/mgi_vocabulary:BAC/YAC-end,type
http://bio2rdf.org/mgi_vocabulary:Complex/Cluster/Region,type
http://bio2rdf.org/mgi_vocabulary:Cytogenetic-Marker,type
http://bio2rdf.org/mgi_vocabulary:DNA-Segment,type
http://bio2rdf.org/mgi_vocabulary:Gene,type
http://bio2rdf.org/mgi_vocabulary:Genotype,type
http://bio2rdf.org/mgi_vocabulary:Marker,type
http://bio2rdf.org/mgi_vocabulary:Other-Genome-Feature,type
http://bio2rdf.org/mgi_vocabulary:Pseudogene,type
http://bio2rdf.org/mgi_vocabulary:Strain,type
http://bio2rdf.org/mgi_vocabulary:Transgene,type
http://bio2rdf.org/ncbigene_vocabulary:Gene,type
http://bio2rdf.org/ncbigene_vocabulary:Gene-component-Association,type
http://bio2rdf.org/ncbigene_vocabulary:Gene-function-Association,type
http://bio2rdf.org/ncbigene_vocabulary:Gene-process-Association,type
http://bio2rdf.org/ncbigene_vocabulary:MiscRNA-Gene,type
http://bio2rdf.org/ncbigene_vocabulary:NcRNA-Gene,type
http://bio2rdf.org/ncbigene_vocabulary:Other-Gene,type
http://bio2rdf.org/ncbigene_vocabulary:Protein-coding-Gene,type
http://bio2rdf.org/ncbigene_vocabulary:Pseudo-Gene,type
http://bio2rdf.org/ncbigene_vocabulary:RRNA-Gene,type
